Name;RA;Dec;ra1;ra2;ra3;RA_dec;RA_radians;sde;de1;de2;de3;de_dec;Dec_radians;LongGal;LatGal;B;V;B-V;B0-V0;EB-V;Sp;Sp_s;Distance;Miles
HD 19065 ;03 07 18,99782;+64 03 27,3379;03;07;19.0;46.82915758;0.817322986;+;64;03;27.3;64.05759386;1.118015924;137.1356;4.9993;5.865;5.885;-0.02;-0.07;0.05;B9V;B9;86.45155066;
HD 190993;20 06 53,40787;+23 36 51,9294;20;06;53.4;301.7225328;5.266051625;+;23;36;51.9;23.61442483;0.412149464;62.4837;-4.6453;4.904;5.064;-0.16;-0.2;0.04;B3V;B3;161.4381225;
HD 19107 ;03 04 16,51707;-07 36 03,0859;03;04;16.5;46.06882113;0.804052611;-;07;36;03.1;-7.600857194;-0.132659984;187.3036;-52.9777;5.46;5.3;0.16;0.27;-0.11;A8V;A8;64.50567766;
HD 19134J;03 05 26,68819;+25 15 18,6257;03;05;26.7;46.36120079;0.809155599;+;25;15;18.6;25.25517381;0.440785936;157.5333;-28.467;5.43;5.46;-0.03;-0.13;0.10;B7Vn;B7;71.29476055;
HD 191610;20 09 25,61918;+36 50 22,6397;20;09;25.6;302.3567466;5.277120743;+;36;50;22.6;36.83962214;0.642972702;73.9148;2.0441;4.793;4.929;-0.136;-0.24;0.10;B2,5Ve;B2,5;149.443613;
HD 192044;20 12 00,70129;+26 28 43,7037;20;12;00.7;303.002922;5.288398633;+;26;28;43.7;26.47880658;0.462142357;65.5293;-4.073;5.797;5.903;-0.106;-0.13;0.02;B7Ve;B7;158.4126758;
HD 192425;20 14 16,61886;+15 11 51,3923;20;14;16.6;303.5692453;5.298282837;+;15;11;51.4;15.19760897;0.265248315;56.241;-10.6138;5.013;4.947;0.066;0.05;0.02;A2V;A2;165.9573618;
HD 192640;20 14 32,03331;+36 48 22,6921;20;14;32.0;303.6334721;5.299403808;+;36;48;22.7;36.80630336;0.642391179;74.4481;1.1715;5.096;4.955;0.141;0.05;0.09;A2V;A2;149.0712181;
HD 192685;20 15 15,89542;+25 35 31,0549;20;15;15.9;303.8162309;5.30259355;+;25;35;31.1;25.59195969;0.446663959;65.1876;-5.1705;4.592;4.759;-0.167;-0.2;0.03;B3V;B3;158.7232637;
HD 19275 ;03 11 56,26910;+74 23 37,1680;03;11;56.3;47.98445458;0.837486722;+;74;23;37.2;74.39365778;1.298414271;132.1147;14.0839;4.888;4.84;0.048;0.05;0.00;A2Vnn;A2;90.8134425;
HD 193322;20 18 06,98820;+40 43 55,5001;20;18;07.0;304.5291175;5.315035769;+;40;43;55.5;40.73208336;0.710908966;78.0986;2.7807;5.94;5.82;0.12;-0.04;0.16;O9V;O9;145.1995352;
HD 193369;20 18 28,65535;+36 59 59,2927;20;18;28.7;304.6193973;5.316611448;+;36;59;59.3;36.99980353;0.645768394;75.0491;0.6256;5.626;5.573;0.053;0.05;0.00;A2V;A2;148.5601851;
HD 19356 ;03 08 10,13245;+40 57 20,3280;03;08;10.1;47.04221854;0.821041601;+;40;57;20.3;40.95564667;0.714810882;148.9765;-14.9003;2.07;2.12;-0.05;-0.11;0.06;B8V;B8;76.45674908;
HD 193571;20 22 27,50366;-42 02 58,3648;20;22;27.5;305.6145986;5.333980987;-;42;02;58.4;-42.04954578;-0.733903023;358.746;-34.1269;5.59;5.58;0.01;-0.01;0.02;A0V;A0;128.2530506;
HD 193592;20 18 24,75071;+55 23 49,5490;20;18;24.8;304.603128;5.316327495;+;55;23;49.5;55.39709694;0.966861738;90.4477;10.8414;5.87;5.76;0.11;0.05;0.06;A2Vs;A2;131.4304158;
HD 193807;20 23 53,17666;-42 25 22,3376;20;23;53.2;305.9715694;5.340211304;-;42;25;22.3;-42.42287156;-0.740418787;358.3383;-34.4363;5.84;5.639;0.201;0.15;0.05;A5V;A5;127.8153803;
HD 193964;20 19 36,72026;+62 15 26,8970;20;19;36.7;304.9030011;5.321561268;+;62;15;26.9;62.25747139;1.08659786;96.4834;14.364;5.667;5.712;-0.045;-0.07;0.03;B9V;B9;124.8282426;
